"profile","scenario","epoch","sample","firstEpoch","startedUtc","iterations","checksum","milliseconds","nanosecondsPerCycle","allocatedBytes","allocatedBytesPerCycle","intCalls","stringCalls","runtime","pointerBytes"
"net10","nested","candidate","3","erased","2026-09-24T18:03:24.9828492Z","10000000","1510000000","108,0463","10,80463","240000000","24","20000000","10000000","10.0.9","8"
"net10","nested","candidate","4","candidate","2026-09-24T18:03:25.1700212Z","10000000","1510000000","108,5535","10,85535","240000000","24","20000000","10000000","10.0.9","8"
"net10","nested","erased","4","candidate","2026-09-24T18:03:25.3629288Z","10000000","1510000000","165,0525","16,50525","720000000","72","20000000","10000000","10.0.9","8"
"net10","nested","erased","5","erased","2026-09-24T18:03:25.6094535Z","10000000","1510000000","163,285","16,3285","720000000","72","20000000","10000000","10.0.9","8"
"net10","nested","candidate","5","erased","2026-09-24T18:03:25.8551184Z","10000000","1510000000","108,8189","10,88189","240000000","24","20000000","10000000","10.0.9","8"
"net10","nested","candidate","6","candidate","2026-09-24T18:03:26.0497871Z","10000000","1510000000","107,7127","10,77127","240000000","24","20000000","10000000","10.0.9","8"
"net10","nested","erased","6","candidate","2026-09-24T18:03:26.2348886Z","10000000","1510000000","163,7561","16,37561","720000000","72","20000000","10000000","10.0.9","8"
"net48","scalar","candidate","0","candidate","2026-09-24T18:03:26.4896809Z","10000000","460000000","36,5434","3,65434","240000000","24","0","0","4.0.30319.42000","8"
"net48","scalar","erased","0","candidate","2026-09-24T18:03:26.7916381Z","10000000","460000000","112,2407","11,22407","720000000","72","0","0","4.0.30319.42000","8"
"net48","scalar","erased","1","erased","2026-09-24T18:03:27.1830641Z","10000000","460000000","104,4499","10,44499","720000000","72","0","0","4.0.30319.42000","8"
"net48","scalar","candidate","1","erased","2026-09-24T18:03:27.5568632Z","10000000","460000000","39,3448","3,93448","240000000","24","0","0","4.0.30319.42000","8"
"net48","scalar","candidate","2","candidate","2026-09-24T18:03:27.8564108Z","10000000","460000000","35,4983","3,54983","240000000","24","0","0","4.0.30319.42000","8"
"net48","scalar","erased","2","candidate","2026-09-24T18:03:28.1490327Z","10000000","460000000","102,2502","10,22502","720000000","72","0","0","4.0.30319.42000","8"
"net48","scalar","erased","3","erased","2026-09-24T18:03:28.5280063Z","10000000","460000000","113,014","11,3014","720000000","72","0","0","4.0.30319.42000","8"
"net48","scalar","candidate","3","erased","2026-09-24T18:03:28.9141818Z","10000000","460000000","37,47","3,747","240000000","24","0","0","4.0.30319.42000","8"
"net48","scalar","candidate","4","candidate","2026-09-24T18:03:29.2099749Z","10000000","460000000","34,4751","3,44751","240000000","24","0","0","4.0.30319.42000","8"
"net48","scalar","erased","4","candidate","2026-09-24T18:03:29.5005925Z","10000000","460000000","108,742","10,8742","720000000","72","0","0","4.0.30319.42000","8"
"net48","scalar","erased","5","erased","2026-09-24T18:03:29.8862753Z","10000000","460000000","114,5406","11,45406","720000000","72","0","0","4.0.30319.42000","8"
"net48","scalar","candidate","5","erased","2026-09-24T18:03:30.2754360Z","10000000","460000000","39,4698","3,94698","240000000","24","0","0","4.0.30319.42000","8"
"net48","scalar","candidate","6","candidate","2026-09-24T18:03:30.5718594Z","10000000","460000000","35,1247","3,51247","240000000","24","0","0","4.0.30319.42000","8"
"net48","scalar","erased","6","candidate","2026-09-24T18:03:30.8624674Z","10000000","460000000","109,8168","10,98168","720000000","72","0","0","4.0.30319.42000","8"
"net48","broad","candidate","0","candidate","2026-09-24T18:03:31.2587463Z","10000000","1510000000","1295,7694","129,57694","240000000","24","20000000","10000000","4.0.30319.42000","8"
"net48","broad","erased","0","candidate","2026-09-24T18:03:32.9479067Z","10000000","1510000000","258,421","25,8421","720000000","72","20000000","10000000","4.0.30319.42000","8"
"net48","broad","erased","1","erased","2026-09-24T18:03:33.4973209Z","10000000","1510000000","253,1378","25,31378","720000000","72","20000000","10000000","4.0.30319.42000","8"
"net48","broad","candidate","1","erased","2026-09-24T18:03:34.0454648Z","10000000","1510000000","1307,7147","130,77147","240000000","24","20000000","10000000","4.0.30319.42000","8"
"net48","broad","candidate","2","candidate","2026-09-24T18:03:35.7305936Z","10000000","1510000000","1295,8482","129,58482","240000000","24","20000000","10000000","4.0.30319.42000","8"
"net48","broad","erased","2","candidate","2026-09-24T18:03:37.4178479Z","10000000","1510000000","259,1364","25,913639999999997","720000000","72","20000000","10000000","4.0.30319.42000","8"
"net48","broad","erased","3","erased","2026-09-24T18:03:37.9656497Z","10000000","1510000000","253,205","25,3205","720000000","72","20000000","10000000","4.0.30319.42000","8"
"net48","broad","candidate","3","erased","2026-09-24T18:03:38.5119488Z","10000000","1510000000","1333,1419","133,31419","240000000","24","20000000","10000000","4.0.30319.42000","8"
"net48","broad","candidate","4","candidate","2026-09-24T18:03:40.2268219Z","10000000","1510000000","1320,1948","132,01948","240000000","24","20000000","10000000","4.0.30319.42000","8"
"net48","broad","erased","4","candidate","2026-09-24T18:03:41.9463219Z","10000000","1510000000","283,499","28,3499","720000000","72","20000000","10000000","4.0.30319.42000","8"
"net48","broad","erased","5","erased","2026-09-24T18:03:42.5360796Z","10000000","1510000000","269,2774","26,92774","720000000","72","20000000","10000000","4.0.30319.42000","8"
"net48","broad","candidate","5","erased","2026-09-24T18:03:43.1118596Z","10000000","1510000000","1316,2252","131,62252","240000000","24","20000000","10000000","4.0.30319.42000","8"
"net48","broad","candidate","6","candidate","2026-09-24T18:03:44.8366480Z","10000000","1510000000","1292,3017","129,23017","240000000","24","20000000","10000000","4.0.30319.42000","8"
"net48","broad","erased","6","candidate","2026-09-24T18:03:46.5336209Z","10000000","1510000000","258,8419","25,88419","720000000","72","20000000","10000000","4.0.30319.42000","8"
"net48","nested","candidate","0","candidate","2026-09-24T18:03:47.0818568Z","10000000","1510000000","1332,6865","133,26865","240000000","24","20000000","10000000","4.0.30319.42000","8"
"net48","nested","erased","0","candidate","2026-09-24T18:03:48.8167260Z","10000000","1510000000","249,2013","24,92013","720000000","72","20000000","10000000","4.0.30319.42000","8"
"net48","nested","erased","1","erased","2026-09-24T18:03:49.3667809Z","10000000","1510000000","278,136","27,8136","720000000","72","20000000","10000000","4.0.30319.42000","8"
"net48","nested","candidate","1","erased","2026-09-24T18:03:49.9599382Z","10000000","1510000000","1345,556","134,5556","240000000","24","20000000","10000000","4.0.30319.42000","8"
"net48","nested","candidate","2","candidate","2026-09-24T18:03:51.7073072Z","10000000","1510000000","1340,9774","134,09774","240000000","24","20000000","10000000","4.0.30319.42000","8"
"net48","nested","erased","2","candidate","2026-09-24T18:03:53.4398984Z","10000000","1510000000","283,2366","28,32366","720000000","72","20000000","10000000","4.0.30319.42000","8"
"net48","nested","erased","3","erased","2026-09-24T18:03:54.0749864Z","10000000","1510000000","272,1705","27,21705","720000000","72","20000000","10000000","4.0.30319.42000","8"
"net48","nested","candidate","3","erased","2026-09-24T18:03:54.6772385Z","10000000","1510000000","1354,3999","135,43999","240000000","24","20000000","10000000","4.0.30319.42000","8"
"net48","nested","candidate","4","candidate","2026-09-24T18:03:56.4811744Z","10000000","1510000000","1364,1722","136,41722","240000000","24","20000000","10000000","4.0.30319.42000","8"
"net48","nested","erased","4","candidate","2026-09-24T18:03:58.2895190Z","10000000","1510000000","265,6021","26,56021","720000000","72","20000000","10000000","4.0.30319.42000","8"
"net48","nested","erased","5","erased","2026-09-24T18:03:58.8805533Z","10000000","1510000000","276,6348","27,66348","720000000","72","20000000","10000000","4.0.30319.42000","8"
"net48","nested","candidate","5","erased","2026-09-24T18:03:59.4785229Z","10000000","1510000000","1365,8102","136,58102","240000000","24","20000000","10000000","4.0.30319.42000","8"
"net48","nested","candidate","6","candidate","2026-09-24T18:04:01.2726734Z","10000000","1510000000","1321,5527","132,15527","240000000","24","20000000","10000000","4.0.30319.42000","8"
"net48","nested","erased","6","candidate","2026-09-24T18:04:03.0115390Z","10000000","1510000000","272,5754","27,25754","720000000","72","20000000","10000000","4.0.30319.42000","8"
